SNP,order,CHR,POS,VALUE,method,bin,effect,h2
2_17574448,46,2,17574448,0.4284,bayes,2_176,0.477307724,0.007864138
2_179828557,53,2,179828557,102.2759288,snptest,2_1798,0.480158909,0.003317301
2_18360174,47,2,18360174,0.4896,bayes,2_184,0.261362842,0.001487669
2_18389066,48,2,18389066,6.534565,stepwise,2_184,0.127112711,0.000210152
2_18420414,49,2,18420414,0.1947,bayes,2_184,0.189432604,0.000764847
2_214659117,54,2,214659117,0.1298,bayes,2_2147,-0.244097378,0.000976587
2_214693907,55,2,214693907,5.95871545,stepwise,2_2147,-0.473049242,0.002512163
2_227048681,56,2,227048681,7.38775742,stepwise,2_2270,-0.355154193,0.001832523
2_227048681,56,2,227048681,0.1454,bayes,2_2270,-0.355154193,0.001832523
2_229528586,57,2,229528586,0.3326,bayes,2_2295,-0.539782659,0.003982993
2_52724067,50,2,52724067,9.84973839,stepwise,2_527,0.666029536,0.00767042
2_52747025,51,2,52747025,0.0926,bayes,2_527,0.639263238,0.007894969
2_52833051,52,2,52833051,0.2753,bayes,2_528,0.786817148,0.012781804
3_133293491,64,3,133293491,7.85299431,stepwise,3_1333,0.795580328,0.007788349
3_166034352,65,3,166034352,6.94799953,stepwise,3_1660,0.822230123,0.00919717
3_166034352,65,3,166034352,0.1232,bayes,3_1660,0.822230123,0.00919717
3_166808666,66,3,166808666,7.38915206,stepwise,3_1668,0.47172716,0.004256938
3_169044562,67,3,169044562,0.5495,bayes,3_1690,0.434892232,0.008662535
3_190442492,68,3,190442492,5.46083222,stepwise,3_1904,-0.223591329,0.000390972
3_190442492,68,3,190442492,0.1933,bayes,3_1904,-0.223591329,0.000390972
3_201331174,69,3,201331174,0.844,bayes,3_2013,0.716625923,0.010156072
3_20591776,62,3,20591776,6.68983915,stepwise,3_206,0.622273203,0.003655673
3_20592157,63,3,20592157,0.0614,bayes,3_206,0.582068606,0.003210567
3_212606824,70,3,212606824,19.48159925,snptest,3_2126,0.282659766,0.002291224
3_212612168,71,3,212612168,3.3971121,stepwise,3_2126,0.030345397,1.48E-05
3_217212780,72,3,217212780,13.75749475,snptest,3_2172,0.434596774,0.012001757
3_217234748,73,3,217234748,0.0366,bayes,3_2172,0.7399356,0.014235401
3_217237484,74,3,217237484,13.4410826,snptest,3_2172,0.475524044,0.011966275
3_217650733,75,3,217650733,0.8007,bayes,3_2177,0.699754351,0.013000566
3_217651051,76,3,217651051,14.69242061,snptest,3_2177,0.492896367,0.012541
3_217669317,77,3,217669317,14.98444766,snptest,3_2177,0.406216438,0.010955395
3_217896087,78,3,217896087,0.0223,bayes,3_2179,0.681247629,0.012493917
3_217901194,79,3,217901194,13.89178201,snptest,3_2179,0.411975417,0.010770819
3_219169602,80,3,219169602,0.0848,bayes,3_2192,0.322473761,0.001172261
3_219175933,81,3,219175933,6.18927253,stepwise,3_2192,0.755252211,0.006893741
3_219188285,82,3,219188285,3.75598111,stepwise,3_2192,0.494657461,0.004838799
3_226487911,83,3,226487911,3.18626784,stepwise,3_2265,0.303800328,0.002237966
3_226515826,84,3,226515826,0.0723,bayes,3_2265,0.422613457,0.005738302
3_227131072,85,3,227131072,8.0818907,stepwise,3_2271,0.710184252,0.007046604
3_229120153,86,3,229120153,0.2549,bayes,3_2291,0.065756515,0.000107136
3_2384984,58,3,2384984,6.88479696,stepwise,3_24,0.284742743,0.001964234
3_2384984,58,3,2384984,0.0466,bayes,3_24,0.284742743,0.001964234
3_5953194,59,3,5953194,0.0526,bayes,3_60,0.030832224,1.14E-05
3_5989888,60,3,5989888,7.43781998,stepwise,3_60,-0.3126477,0.001072726
3_5989897,61,3,5989897,0.6213,bayes,3_60,-0.3126477,0.001072726
4_1223785,87,4,1223785,0.4119,bayes,4_12,0.397990589,0.008870231
4_1223794,88,4,1223794,9.052287298,snptest,4_12,0.394085389,0.008846513
4_1223829,89,4,1223829,0.2821,bayes,4_12,0.397990589,0.008870231
4_179606232,96,4,179606232,5.7939259,stepwise,4_1796,0.867405064,0.013530412
4_179614951,97,4,179614951,0.0669,bayes,4_1796,0.863157728,0.008881571
4_179761734,98,4,179761734,0.0917,bayes,4_1798,1.199154554,0.020502731
4_179790632,99,4,179790632,0.1915,bayes,4_1798,0.63689988,0.006455492
4_179790733,100,4,179790733,0.0692,bayes,4_1798,0.590597161,0.004413472
4_179792165,101,4,179792165,5.95268545,stepwise,4_1798,1.140897364,0.019553554
4_198426700,102,4,198426700,0.4898,bayes,4_1984,1.212150271,0.078921756
4_198471018,103,4,198471018,0.1745,bayes,4_1985,1.668106735,0.0539228
4_198490330,104,4,198490330,8.21300383,stepwise,4_1985,1.64046767,0.030838284
4_198999779,105,4,198999779,148.5705225,snptest,4_1990,1.099925192,0.082128431
4_199073074,106,4,199073074,148.7756869,snptest,4_1991,1.100570716,0.082226311
4_199076568,107,4,199076568,148.7756869,snptest,4_1991,1.100570716,0.082226311
4_199077448,108,4,199077448,148.7756869,snptest,4_1991,1.100570716,0.082226311
4_199078546,109,4,199078546,9.73980148,stepwise,4_1991,1.399951803,0.085236169
4_199079132,110,4,199079132,148.7756869,snptest,4_1991,1.100570716,0.082226311
4_199082836,111,4,199082836,148.7756869,snptest,4_1991,1.100570716,0.082226311
4_199278901,112,4,199278901,147.9626004,snptest,4_1993,1.096685265,0.081638559
4_200186670,113,4,200186670,147.1248738,snptest,4_2002,1.166128185,0.085796806
4_200188747,114,4,200188747,147.1248738,snptest,4_2002,1.166128185,0.085796806
4_200188840,115,4,200188840,147.1248738,snptest,4_2002,1.166128185,0.085796806
4_200191570,116,4,200191570,0.1138,bayes,4_2002,1.639319814,0.077476099
4_200203564,117,4,200203564,0.295,bayes,4_2002,1.373365113,0.054745104
4_228447998,118,4,228447998,121.8667819,snptest,4_2284,0.971671934,0.063780406
4_228622417,119,4,228622417,121.0331459,snptest,4_2286,0.970068923,0.063576012
4_228628647,120,4,228628647,122.1785938,snptest,4_2286,0.974226679,0.064121202
4_228646766,121,4,228646766,0.0216,bayes,4_2286,1.349579585,0.052974417
4_228653398,122,4,228653398,0.0228,bayes,4_2287,1.699083364,0.048922268
4_228662791,123,4,228662791,122.5142542,snptest,4_2287,0.976265898,0.064369549
4_228847332,124,4,228847332,122.0195051,snptest,4_2288,0.975475741,0.064264108
4_228848859,125,4,228848859,0.0212,bayes,4_2288,1.057875216,0.022754005
4_229000838,126,4,229000838,9.81536341,stepwise,4_2290,1.666369902,0.048478537
4_229000838,126,4,229000838,0.0905,bayes,4_2290,1.666369902,0.048478537
4_229029859,127,4,229029859,120.7676648,snptest,4_2290,1.06813772,0.069106447
4_229031964,128,4,229031964,121.3330833,snptest,4_2290,1.036884043,0.067463793
4_229033656,129,4,229033656,122.1954491,snptest,4_2290,0.974983397,0.064182603
4_229034519,130,4,229034519,120.7676648,snptest,4_2290,1.06813772,0.069106447
4_229900055,131,4,229900055,120.7895803,snptest,4_2299,0.971480281,0.063752135
4_232926192,132,4,232926192,108.4304695,snptest,4_2329,0.984170432,0.060893077
4_232943199,133,4,232943199,108.0835295,snptest,4_2329,0.918323308,0.057047036
4_232943203,134,4,232943203,108.0835295,snptest,4_2329,0.918323308,0.057047036
4_233002861,135,4,233002861,108.0258534,snptest,4_2330,0.917656169,0.05696954
4_233222027,136,4,233222027,108.2229659,snptest,4_2332,0.921378885,0.057448413
4_233222931,137,4,233222931,108.2229659,snptest,4_2332,0.921378885,0.057448413
4_233254296,138,4,233254296,108.2229659,snptest,4_2333,0.921378885,0.057448413
4_233443376,139,4,233443376,107.7145817,snptest,4_2334,0.922991218,0.05772861
4_233760445,140,4,233760445,107.6763313,snptest,4_2338,0.922920032,0.05771277
4_233853010,141,4,233853010,107.6711508,snptest,4_2339,0.923693893,0.057832384
4_235604701,142,4,235604701,9.94988341,stepwise,4_2356,1.889284014,0.047684108
4_236080691,143,4,236080691,0.0488,bayes,4_2361,0.903448065,0.013335445
4_236091061,144,4,236091061,0.2258,bayes,4_2361,1.024714036,0.055694206
4_236097278,145,4,236097278,5.33841945,stepwise,4_2361,1.514964503,0.034168987
4_236097864,146,4,236097864,0.2161,bayes,4_2361,1.355380655,0.049185585
4_236387000,147,4,236387000,0.2494,bayes,4_2364,1.051968137,0.044992842
4_33075579,95,4,33075579,10.8300149,stepwise,4_331,1.053420961,0.016323812
4_5964871,90,4,5964871,12.61952021,snptest,4_60,0.388916025,0.009820943
4_5974740,91,4,5974740,0.0231,bayes,4_60,0.707046738,0.008189133
4_5976338,92,4,5976338,0.3102,bayes,4_60,0.98183979,0.009445624
4_7480416,93,4,7480416,5.12950849,stepwise,4_75,0.91928928,0.007272379
4_7488177,94,4,7488177,0.0922,bayes,4_75,0.948577227,0.009577976
5_149155149,164,5,149155149,7.73767736,stepwise,5_1492,0.562481656,0.008301924
5_15322714,148,5,15322714,7.89399087,stepwise,5_153,0.439115152,0.003863552
5_16418530,149,5,16418530,0.3112,bayes,5_164,0.69524493,0.00839093
5_16420194,150,5,16420194,0.2367,bayes,5_164,0.704290297,0.005993788
5_166858167,165,5,166858167,0.4541,bayes,5_1669,-0.003461481,8.27E-07
5_166892345,166,5,166892345,4.07219203,stepwise,5_1669,0.381981075,0.002419955
5_167659027,167,5,167659027,57.92210058,snptest,5_1677,0.772462038,0.006809567
5_167671178,168,5,167671178,5.82792107,stepwise,5_1677,0.810130019,0.004642598
5_18628601,151,5,18628601,2.21458847,stepwise,5_186,1.002130628,0.015572227
5_18633669,152,5,18633669,27.92762336,snptest,5_186,0.49285059,0.015830807
5_18633670,153,5,18633670,27.92762336,snptest,5_186,0.49285059,0.015830807
5_19050196,154,5,19050196,27.97046756,snptest,5_191,0.4755935,0.015162033
5_19131028,155,5,19131028,0.0608,bayes,5_191,0.894869466,0.006026488
5_19198790,156,5,19198790,5.59405049,stepwise,5_192,0.780122066,0.009141746
5_19237019,157,5,19237019,0.0474,bayes,5_192,1.05877566,0.01309186
5_206887315,169,5,206887315,7.09005608,stepwise,5_2069,0.139772161,0.000250972
5_206887599,170,5,206887599,0.1265,bayes,5_2069,0.064963472,9.05E-05
5_207729392,171,5,207729392,0.07,bayes,5_2077,-0.143255868,0.000288789
5_207729685,172,5,207729685,7.65483354,stepwise,5_2077,-0.175602331,0.000370625
5_207732263,173,5,207732263,0.0911,bayes,5_2077,-0.203422649,0.000653738
5_212351905,174,5,212351905,8.72942448,stepwise,5_2124,-0.636528012,0.004162432
5_212352078,175,5,212352078,0.3097,bayes,5_2124,-0.490513839,0.003274156
5_23184913,158,5,23184913,134.8965084,snptest,5_232,0.513081969,0.002963169
5_50086739,159,5,50086739,30.3201112,snptest,5_501,0.540450506,0.018261469
5_50088075,160,5,50088075,30.3201112,snptest,5_501,0.540450506,0.018261469
5_50088542,161,5,50088542,30.3201112,snptest,5_501,0.540450506,0.018261469
5_50122418,162,5,50122418,3.2642929,stepwise,5_501,0.841297707,0.012290627
5_57250790,163,5,57250790,8.4206667,stepwise,5_573,-0.014148498,1.37E-06
6_154785052,176,6,154785052,7.37755033,stepwise,6_1548,0.472527684,0.002531639
6_158863400,177,6,158863400,0.4312,bayes,6_1589,-0.395162898,0.00267105
7_118228658,184,7,118228658,8.50578018,stepwise,7_1182,-0.395154636,0.001899749
7_138758449,185,7,138758449,0.2574,bayes,7_1388,-0.344223034,0.003377154
7_162950028,186,7,162950028,0.1549,bayes,7_1630,0.29000839,0.002208967
7_162950288,187,7,162950288,0.0572,bayes,7_1630,0.280291833,0.00218281
7_162960897,188,7,162960897,6.52642359,stepwise,7_1630,0.383970991,0.001872171
7_162981507,189,7,162981507,0.0975,bayes,7_1630,0.379231635,0.002940849
7_17695966,178,7,17695966,0.0371,bayes,7_177,-0.505449367,0.007707103
7_17696158,179,7,17696158,7.21287682,stepwise,7_177,-0.668128335,0.010449736
7_17696158,179,7,17696158,0.0958,bayes,7_177,-0.668128335,0.010449736
7_21150976,180,7,21150976,9.613142308,snptest,7_212,-0.331558108,0.006701074
7_21151002,181,7,21151002,9.613142308,snptest,7_212,-0.331558108,0.006701074
7_21151167,182,7,21151167,9.613142308,snptest,7_212,-0.331558108,0.006701074
7_21199251,183,7,21199251,0.0583,bayes,7_212,-0.337294155,0.006249849
8_124937344,195,8,124937344,7.90162117,stepwise,8_1249,0.592157221,0.004540062
8_151255307,196,8,151255307,96.01296962,snptest,8_1513,-0.083572183,6.86E-05
8_154993136,197,8,154993136,120.335698,snptest,8_1550,-0.114891588,0.000146982
8_165169146,198,8,165169146,16.09739952,snptest,8_1652,-0.387658122,0.009698438
8_165180453,199,8,165180453,4.6032569,stepwise,8_1652,-0.730516567,0.009188242
8_167561571,200,8,167561571,16.20082548,snptest,8_1676,-0.380040876,0.009351051
8_167613440,201,8,167613440,0.0259,bayes,8_1676,-0.696172379,0.010088001
8_167756476,202,8,167756476,16.92149857,snptest,8_1678,-0.412148854,0.010357141
8_167758219,203,8,167758219,0.034,bayes,8_1678,-0.711458141,0.011610214
8_167780775,204,8,167780775,0.0291,bayes,8_1678,-0.426845115,0.010564813
8_168020350,205,8,168020350,16.48509529,snptest,8_1680,-0.411402688,0.010806192
8_168023686,206,8,168023686,0.0347,bayes,8_1680,-0.466453007,0.012326555
8_173171425,207,8,173171425,3.80243201,stepwise,8_1732,-0.506768194,0.002932026
8_173176795,208,8,173176795,0.0541,bayes,8_1732,-0.45148576,0.004134653
8_173180987,209,8,173180987,0.0559,bayes,8_1732,-0.439433183,0.004646849
8_19657455,191,8,19657455,0.1027,bayes,8_197,-0.358293208,0.002262738
8_19673483,192,8,19673483,5.83463307,stepwise,8_197,-0.402803902,0.002299193
8_26275,190,8,26275,0.131,bayes,8_0,0.355482941,0.00150667
8_26275,190,8,26275,5.55354832,stepwise,8_0,0.355482941,0.00150667
8_36684547,193,8,36684547,7.71472886,stepwise,8_367,0.192303811,0.000398817
8_73919477,194,8,73919477,7.83134604,stepwise,8_739,-0.400129344,0.002486393
9_140994782,219,9,140994782,9.10216804,stepwise,9_1410,0.496082335,0.003665209
9_148646606,220,9,148646606,0.5209,bayes,9_1486,-0.302674059,0.002126782
9_154100781,221,9,154100781,87.88016271,snptest,9_1541,0.187062576,0.000943938
9_154100783,222,9,154100783,87.88016271,snptest,9_1541,0.187062576,0.000943938
9_18607818,214,9,18607818,0.0747,bayes,9_186,-0.228593483,0.000793942
9_18628761,215,9,18628761,4.43415029,stepwise,9_186,-0.169074359,0.00039317
9_5028060,210,9,5028060,4.21513234,stepwise,9_50,0.675527802,0.005800581
9_5028491,211,9,5028491,0.658,bayes,9_50,0.636364448,0.008200848
9_5028525,212,9,5028525,0.0266,bayes,9_50,0.560569016,0.008148301
9_5042680,213,9,5042680,0.0475,bayes,9_50,0.619577062,0.008200669
9_53605430,216,9,53605430,7.71665283,stepwise,9_536,0.446558122,0.001945582
9_99293471,217,9,99293471,0.6339,bayes,9_993,-0.099745639,0.000455622
9_99358245,218,9,99358245,9.47208992,stepwise,9_994,-0.218954265,0.000734944
10_139310781,-1,10,139310781,0.0652,bayes,10_13931078,0.4390032,0.008770275
1_202396432,-2,1,202396432,0.1157,bayes,1_20239643,0.5495167,0.001627825
3_194042011,-3,3,194042011,0.4367,bayes,3_19404201,0.4323115,0.001039041
3_20378172,-4,3,20378172,0.0515,bayes,3_2037817,0.3667025,0.001155525
3_217150864,-5,3,217150864,0.0133,bayes,3_21715086,0.6497168,0.009289305
4_197617071,-6,4,197617071,0.1277,bayes,4_19761707,1.6046215,0.061067531
4_198999400,-7,4,198999400,0.6637,bayes,4_19899940,1.8852288,0.057210792
4_41355316,-8,4,41355316,0.1122,bayes,4_4135532,0.6887327,0.002791067
5_94095865,-9,5,94095865,0.1795,bayes,5_9409586,0.7383118,0.016310655



